集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-08-21,n38457a42cd94,他人の文体に憑依したら、自分の文章まで危なくなった | AI活用 | プロンプト | 生成AI |,25,1,26,711,85,34,11.95,-0.43,1.57,168.0,50.0,2.0,3.0,1.8,,,0.319,🎆 バースト型,70.1
2026-08-21,n37ca671f85c4,発掘者キャラ、勝手に作って配るで｜採掘班の装備｜使うも使わんも自由｜生成AI｜AIイラスト｜,24,1,25,773,104,42,13.45,-0.5,1.36,204.0,64.0,2.0,3.0,1.8,,,0.301,🎆 バースト型,69.8
2026-08-21,n5f783109a3f6,「沼だからやめとけ」と言われたメンシプの真実｜生成AI｜AI活用｜メンシプ｜,15,1,16,791,96,47,12.14,-0.82,7.36,237.0,86.0,2.0,3.0,4.3,,,0.297,🎆 バースト型,69.5
2026-08-21,n5e895a7fa032,コラボしたら、ワイの中からレトロアートが出てきた | AI活用 | 画像生成AI | 生成AI |,29,0,31,992,122,38,12.3,-0.29,1.0,942.0,393.0,0.0,3.0,2.2,,,0.282,🎆 バースト型,69.1
2026-08-21,n45823490cfbb,ワイ、キャラクターを勝手に広報担当にしてみた。｜AI動画｜ショート動画｜生成AI｜,17,0,19,848,90,33,10.61,-0.04,2.79,826.0,498.0,0.0,3.0,2.0,,,0.299,🎆 バースト型,69.1
2026-08-21,n458fce191bb3,発掘レイド最終点呼！名簿の36名、確認はOK？ | AI活用 | ChatGPTCreativeClub | 生成AI |,21,0,23,830,80,60,9.64,-1.21,2.86,781.0,302.0,1.0,2.0,3.3,,,0.312,🎆 バースト型,69.0
2026-08-21,na410336aa8c4,Claude活用100項目マップ、覚えるべきは10個だけ。 | Claude | AI活用 | 生成AI｜,12,1,13,450,30,8,6.67,-0.68,13.23,134.0,37.0,4.0,1.0,6.3,,,0.452,🎆 バースト型,69.0
2026-08-21,n9a67fecb68b6,【AIアート/イラスト】「黒髪リリック（Black-Haired Lyrics）」─歌詞に宿る“感情の残像”を、黒髪の女性として描くアートシリーズ。,299,20,278,196,18,5,9.18,1.33,0.0,,,,,,,,0.32,❓ データ不足,68.9
2026-08-21,n9582940fe21e,【PR】HIX AI画像生成、初心者は「おまかせ」？「モデル指定」？ | 画像生成AI | HIX AI | AI活用 | 比較 |,27,0,29,717,80,24,11.16,0.51,0.86,688.0,347.0,0.0,3.0,1.4,,,0.278,🎆 バースト型,68.6
2026-08-21,n34abd580cd60,Python環境構築を最短3ステップで完了,801,522,278,145,13,2,8.97,8.28,0.0,,,,,,,,0.304,❓ データ不足,68.2
2026-08-21,n116978369dbd,ヘッドホンのイヤーパッドがベタベタ/ボロボロになる理由〜愛されすぎた証拠！？ベタベタ星人の科学〜,342,63,278,136,7,2,5.15,4.39,0.29,,,,,,,,0.581,❓ データ不足,67.4
2026-08-21,n8ded3116a32b,ワイ的、プロンプトエンジニアリングのズル技。 ＃220,214,39,176,339,17,7,5.01,0.35,0.14,,,,,,,,0.608,💤 眠り型,67.4
2026-08-21,ndf8fd15e2ca0,【AIアート/イラスト】ボツになった、もうひとつの世界,288,9,278,266,26,14,9.77,-0.76,0.0,,,,,,,,0.254,❓ データ不足,67.3
