rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
68,monthly,393078,ブラウニー,dic_web,https://note.com/dic_web,True,9,2026-03-01T20:29:31+09:00,2026-03-24T14:20:59+09:00,1762,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
69,monthly,3316488,HalfEngineer,halfeng202602,https://note.com/halfeng202602,True,9,2026-03-13T07:30:31+09:00,2026-03-21T10:53:14+09:00,104,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
70,monthly,13628385,ヘクたろー|緑内障と付き合っている男,hekutaro_0520,https://note.com/hekutaro_0520,True,8,2026-03-20T09:39:31+09:00,2026-03-29T13:32:02+09:00,190,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
71,monthly,7119277,🌳杜の投資屋🐸まー×珈琲屋☕️,brainy_quince872,https://note.com/brainy_quince872,True,8,2026-03-03T08:07:06+09:00,2026-03-29T10:28:48+09:00,710,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
72,monthly,1263829,ムーンストーン,amn5134,https://note.com/amn5134,True,8,2026-03-01T09:03:37+09:00,2026-03-29T08:42:10+09:00,120,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
73,monthly,11995700,赤髪のあかり✨️創作×記事紹介サポート,akari_seaart,https://note.com/akari_seaart,True,8,2026-03-18T06:59:31+09:00,2026-03-28T06:25:35+09:00,5321,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
74,monthly,12134366,モモ,genial_quokka134,https://note.com/genial_quokka134,True,8,2026-03-09T00:42:12+09:00,2026-03-28T02:15:06+09:00,1283,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
75,monthly,13416976,yukariyajp,brainy_thyme2046,https://note.com/brainy_thyme2046,True,8,2026-03-17T17:13:38+09:00,2026-03-27T06:26:50+09:00,421,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
76,monthly,9500929,LLM LABO / AIであなたと未来を切り拓く,k_lab0,https://note.com/k_lab0,True,8,2026-03-09T15:26:41+09:00,2026-03-25T08:39:45+09:00,1121,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
77,monthly,11936374,経営企画室の詩織,shioriplanning,https://note.com/shioriplanning,True,8,2026-03-02T19:12:35+09:00,2026-03-24T06:05:48+09:00,1504,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
